,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
6654,xeskir_P1_H,577.328,1269.86,934.605,10.08768,9.57681,10.08767
6655,xeskox_P1_H,415.932,1185.06,732.409,8.4489,7.62165,8.4489
6656,xeskud_P1_H,523.043,1201.97,838.952,9.1802,8.75134,9.12887
6657,xeslak_P1_H,536.65,1249.25,848.22,9.63719,9.22898,9.63719
6661,xewyoq_P1_charged,751.929,1193.37,783.7,6.83564,3.73845,6.81575
6662,xexlet_P1,385.931,1520.04,1229.2,8.01945,7.40132,8.00563
6663,xexlix_P1,332.834,1460.88,1177.18,7.0378,6.6458,7.00792
6664,xexlod_P1,375.187,1562.07,1326.98,7.21012,6.84185,7.15497
6665,xexmaq_P1,396.033,1569.95,1400.71,8.3881,8.06353,8.36842
6666,xexmeu_P1,429.112,1600.54,1517.71,9.6013,8.84188,9.6013
6667,xeymar_P1_H,1533.03,2224.3,1570.93,6.23445,4.24083,6.23445
6668,xezney_P1,1206.18,1695.11,1502.44,6.92556,3.1924,6.92525
6669,xezrig_P1_H,1776.98,2061.16,1904.31,6.12774,4.18392,6.11548
6670,xicdui_P1_charged,716.847,1458.49,1238.63,5.89843,4.99085,5.89035
6672,xidciz_P1_H,783.625,1611.81,1301.99,6.389,3.23791,6.23646
6674,xifhif_P1,463.426,1248.82,753.24,6.59438,4.79072,6.59438
6676,xighif_P1,3038.2,1895.99,1445.43,9.11268,6.38804,9.11268
6678,xigzul_P1,172.656,973.418,595.197,4.6837,4.05969,4.67135
6679,xihriq_P1,279.416,1464.13,1323.81,4.88127,3.7293,4.77721
6680,xijsuh_P1,3394.05,2733.43,3292.32,10.86367,3.76534,10.86292
6681,xillel_P1_charged,6453.86,1845.43,1866.58,7.63087,5.32495,7.61872
6682,xillip_P1_charged,1867.7,2048.41,2071.39,7.89374,3.93577,7.87214
6683,xiltuk_P1,920.992,1075.53,894.031,4.53281,3.89797,4.47081
6684,ximnoz_P1_H,360.535,829.606,638.989,5.16542,4.27659,5.11724
6685,ximpoa01_P1,159.411,408.585,287.259,3.73141,3.03471,3.69908
6686,ximpoa_P1,150.857,395.419,271.845,3.65717,2.99458,3.6179
6687,xinfuw_P1,627.655,1731.39,1492.12,5.20956,4.13053,5.00964
6688,xinrap_P1_H,982.3,1983.11,1811.91,6.75013,5.70846,6.75013
6690,xinwuo_P1,165.344,463.482,301.341,3.58133,3.09978,3.57765
6691,xiqyuu_P1_charged_H,5744.71,2089.78,2922.37,12.24371,7.93182,12.23558
6692,xiqzih_P1_charged,138.444,680.134,554.458,4.35261,3.25057,3.99463
6693,xirkam_P1_charged,1933.9,2036.5,2156.57,10.81376,5.37633,10.81376
6694,xismeu_P1_charged,1145.99,1236.36,1070.15,10.38466,6.55676,10.38466
6695,xitmuk_P1,1009.39,2384.84,2694.34,8.53496,4.86006,8.53496
6696,xityop_P1_H,5877.56,2589.27,2972.55,6.79122,4.99753,6.79122
6697,xivvuw_P1,1590.53,1735.53,1448.96,5.51421,4.47598,5.50164
